year,spawn,recruit
1976,71291,123362
1977,97368,292305
1978,35454,279209
1979,96122,350528
1980,98673,213676.3114
1981,84407,276488.3416
1982,103038,348925.726
1983,80141,421800.2877
1984,100781,353051.8584
1985,69141,229083.1678
1986,88024,296617.2096
1987,94208,234019.0535
1988,81274,68424.49447
1989,54900,52075.78659
1990,76119,13499.20187
1991,92375,75511.60832
1992,77601,79776.6245
1993,52080,16529.02368
1994,37007,25818.55995
1995,7177,51313.7726
1996,50739,145983.1596
1997,44254,90781.59388
1998,12335,65634.98824
1999,19284,178313.555
2000,43555,102280.075
2001,76283,220507.7635
2002,58361,180284.5092
2003,75065,50731.47035
2004,77660,52919.24718
2005,51178,119490.0855
2006,96203,82829.55084
2007,72678,255800.0763
2008,33117,63902.32775
2009,33705,177454.7471
2010,71657,187511.3447
