"parameter","X0.","X2.5.","X5.","X50.","X95.","X97.5.","X100."
"lnalpha",0.995132925814312,1.28396962926302,1.33866545167203,1.59332778872667,1.8471033801641,1.89674868772937,2.27934016236529
"phi",-0.999647495016978,-0.955552616459318,-0.89786210323491,-0.000168518745418955,0.897005959665759,0.944699392937241,0.999145662784528
"beta",0.0648087308847112,0.0986191775922459,0.105064718395475,0.135392270127364,0.165738196607483,0.171752090840204,0.210754925242156
"sigma",0.279620643178473,0.327593479717538,0.338903530012028,0.401744140251536,0.485402330452956,0.50427074943199,0.628819335477366
"sigmaw",0.000366760417819023,0.0477587168448974,0.0951492846023074,0.993706931825727,1.90859401351972,1.95853913570977,1.99960943963379
"Tau",2.52899648312963,3.93253380156887,4.24420436676874,6.19585004351676,8.70658444666896,9.31814582988928,12.7897348006176
"tauw",0.250097668699764,0.260696674922575,0.27451930286499,1.01270605214274,110.457936689795,438.424652258208,7434214.40927316
"alpha",2.70508389286132,3.61094542725323,3.81395020702993,4.92009475684979,6.34142419824888,6.6641918674243,9.77023151569755
"lnalpha.c",1.09291338798035,1.37321532580854,1.42444642665497,1.67435338840307,1.93608670007848,1.98832881255279,2.37172635739301
"e0",-0.710577514119022,-0.397184331901565,-0.337597799100001,-0.00312258128682067,0.334107298885682,0.392365971908818,0.714648582035927
