"variable","point_estimate","Upper C.I.","converge"
"Tau",0.999972502095157,1.00017448970854,"true"
"alpha",1.00103740123694,1.00410971634521,"true"
"beta",1.00069952050402,1.00294767262525,"true"
"e0",1.00000736768317,1.00031577698794,"true"
"lnalpha",1.00087099837485,1.00379179622348,"true"
"lnalpha.c",1.00097387486611,1.00413890990357,"true"
"phi",1.00088851425987,1.00254719643197,"true"
"sigma",0.999908449968677,1.00001279308136,"true"
"sigmaw",1.00007525820459,1.00084116129594,"true"
"tauw",1.20126500122442,1.20424188526403,"false"
