"parameter","X0.","X2.5.","X5.","X50.","X95.","X97.5.","X100."
"lnalpha",0.820469391745025,1.25540584929305,1.3147139676781,1.59608349620904,1.86943515781104,1.92448231125966,2.24814832204002
"phi",-0.575535978020681,-0.234596101825278,-0.181721274054875,0.0929014806761043,0.383152771219823,0.440038504951366,0.76237799276324
"beta",0.0302783842050797,0.0963849426560533,0.102386845761784,0.134931040018274,0.166825211745652,0.173451296723815,0.218009918227314
"sigma",0.293451928402845,0.333080772164698,0.344435384561044,0.411529358461942,0.50411420289987,0.523726040204742,0.690869600533466
"sigmaw",0.000373978167859367,0.0480690511487264,0.0969781293293876,1.00646435911918,1.89863401075767,1.94771126884788,1.99970270343263
"Tau",2.09511484088749,3.64579069582101,3.93497641607669,5.9047070340944,8.42916350244967,9.01365393646033,11.6125090215796
"tauw",0.250074340717361,0.26360330208638,0.277407050751428,0.987195577393887,106.330178803618,432.781915143936,7150024.01869347
"alpha",2.2715658415804,3.50926231712875,3.72368577034391,4.93367179194941,6.4846325745409,6.85160075106829,9.4701838603389
"lnalpha.c",0.961151064184679,1.35416084383819,1.41165277077313,1.68692899418592,1.97008738278366,2.03015961367034,2.35411225117567
"e0",-0.684847932435934,-0.388379902909188,-0.326632466335061,-0.00184226790156167,0.322970505874374,0.386855329630993,0.692580648917693
