"q95","q90","Median","q10","q5","Escapement"
0,0,0,0,0,0
715.384215638531,667.556401489274,537.729480127723,433.046278023336,405.946456837386,100
1428.51807572916,1332.94951638012,1074.00514118467,865.092466427959,811.118815915488,200
2139.39933507526,1996.19485016711,1608.75592695065,1296.20254013512,1215.52555139394,300
2848.03584371712,2657.45104394156,2142.09155709069,1726.39751951185,1619.16631393036,400
3554.43291388341,3316.69307205882,2674.06003616937,2155.63005056906,2022.04168190427,500
4258.59584662742,3973.77512076122,3204.2496660262,2583.92311664797,2424.15274289299,600
4960.5299318491,4628.86097032569,3732.94055252949,3011.27548775735,2825.50058310041,700
5660.24044831703,5282.59188870883,4260.36470311332,3437.68871067034,3226.08628735857,800
6357.73266369043,5933.73951181713,4786.29900242758,3863.16432990028,3625.9109391293,900
7053.6878731928,6582.7639322868,5310.80052123608,4287.16349751239,4024.82255742362,1000
7748.05199254142,7229.74999161795,5834.0963288588,4710.26795324072,4422.80471935526,1100
8438.56663686659,7874.41270068595,6355.89876748746,5133.07099175636,4819.99667019228,1200
9126.39143650289,8516.45489629837,6876.1956036098,5554.65361537545,5216.3804444561,1300
9812.31954397498,9157.65400516931,7394.80685057874,5975.28227374612,5611.9572726793,1400
10496.9176009573,9797.31852713679,7911.62557558616,6394.27788609357,6006.72838372851,1500
11178.7305534847,10434.6315422518,8427.11178901582,6812.24229912221,6401.13340277045,1600
11858.7122806664,11069.7648454981,8941.39770559417,7229.57647886949,6793.75213543571,1700
12534.3982435492,11702.8407636219,9454.96129895737,7646.10577553725,7186.00348072148,1800
13209.193449947,12333.7187007478,9967.18000752591,8061.67451142084,7577.45424263175,1900
13882.9724253004,12962.5988553292,10477.7099987019,8475.7879098191,7968.09531985255,2000
14554.4616380967,13589.9808017075,10986.6252394833,8888.79147222452,8357.92796097681,2100
15221.5826155969,14216.750067098,11493.9713968188,9300.89508338373,8746.96042790752,2200
15886.390817034,14841.6954678559,11999.90156717,9712.03237409882,9134.41885163085,2300
16548.8921850616,15463.8660976021,12504.7204070623,10122.4188187172,9520.44606376914,2400
17209.0926487954,16081.1959813373,13009.4767449871,10532.4015311433,9906.78327626267,2500
17866.9476666889,16696.4132169618,13512.2046375926,10941.672291538,10292.8150700649,2600
