"q95","q90","Median","q10","q5","Escapement"
0,0,0,0,0,0
638.240982980257,600.704924290731,487.719945036458,391.32657031827,365.339755733163,100
1274.28125380989,1199.56122215278,974.181746337001,781.797053494431,729.934687141934,200
1908.20427055915,1796.4824933262,1459.35875763559,1171.36450135012,1093.78593315638,300
2540.14833936742,2391.35116048219,1943.25154196153,1560.10462556013,1456.89463115842,400
3170.04622897526,2984.4620406606,2425.87839478965,1948.27327462356,1819.3117631477,500
3797.40897936019,3575.42140531856,2907.28009455261,2335.2552182322,2181.01844439897,600
4422.49498057686,4164.6331312773,3387.28686971471,2721.58730493098,2542.00905194429,700
5045.84936812708,4752.39025551182,3865.93431305759,3107.13622370397,2902.28821879517,800
5667.36732341046,5338.3933881595,4343.33742842759,3491.87664455838,3261.67570670526,900
6286.68385903528,5922.6543200374,4819.22327868285,3875.6934141625,3620.41386177092,1000
6903.32643126139,6505.19661151524,5293.62002251458,4258.84271030962,3978.86582854849,1100
7517.80531195336,7085.96964794579,5766.97188484501,4640.74758275308,4336.30553196576,1200
8131.67931650352,7664.91074616262,6239.23365548065,5022.4903433316,4693.03723550768,1300
8744.12304921418,8241.9984032286,6710.18432071076,5402.32831384771,5049.0619871293,1400
9354.33921631314,8817.37729860474,7179.70407678478,5781.47460276256,5404.38083340811,1500
9961.89685072874,9390.48487518819,7648.32292235154,6160.37448232151,5758.94849753462,1600
10567.473853181,9960.26727367734,8116.05965746864,6538.54192396926,6112.93091030021,1700
11170.9635319987,10529.027182663,8582.05911499401,6915.91038620612,6466.21556583115,1800
11772.4214708052,11095.4610769227,9046.85996716063,7292.08707061081,6818.80674699131,1900
12372.0478333511,11659.9788271957,9510.12113979086,7667.35835996406,7170.71296865125,2000
12969.5873512517,12225.129712476,9973.12740398527,8041.78730966286,7522.52907704389,2100
13565.0058039665,12789.4971547946,10433.2096882017,8415.37532772443,7873.87343247804,2200
14157.3755229134,13351.4696223157,10892.013199593,8788.12382007746,8224.5993908263,2300
14747.6822026529,13910.2590370843,11350.2054068088,9160.06806615782,8574.70776393039,2400
15335.8871976469,14466.9206641294,11807.9932701897,9531.24695002519,8922.18443754551,2500
15922.8364079008,15022.2312549931,12264.0080003367,9902.08838167546,9268.87664959256,2600
16510.6329151542,15576.7788961948,12719.6778023147,10271.6629638925,9614.79625874284,2700
17093.3754036155,16127.9019031623,13173.9538255728,10639.8926914134,9960.68069229502,2800
17673.9702144594,16676.7804417821,13626.6456537997,11007.4005911347,10306.8001680887,2900
18254.1181565887,17225.4873132858,14077.9116077256,11373.9380936107,10651.8298472182,3000
18832.4683018857,17772.0681255167,14526.9214202906,11740.0237435688,10996.1781480735,3100
19408.8181657874,18316.024492845,14975.6545262584,12105.9284027915,11339.8460701632,3200
19983.2726985191,18858.2890054055,15422.2621044425,12469.5478375545,11682.8346116958,3300
20554.1019538111,19400.3268983275,15867.8816305465,12832.9648516871,12024.2536957751,3400
21126.7767012545,19937.7707652409,16310.9770751727,13195.6005964856,12363.8921531901,3500
21695.8394838795,20474.6337654823,16754.7947630149,13556.300845786,12704.4384392565,3600
22262.8675862705,21009.6193942573,17197.9263275966,13917.4216112702,13044.4123601947,3700
22828.0280077514,21546.4481242006,17638.9246005658,14277.4228151983,13383.5199444145,3800
23390.0046678992,22077.9093981357,18078.1084970602,14635.4258929859,13720.9710844224,3900
23949.4210263781,22607.138777943,18516.2109347491,14992.5423070349,14060.5283116653,4000
24506.1680793224,23135.2878997962,18953.8319097502,15350.473939049,14397.7322234144,4100
25064.0754921628,23662.9735782824,19389.6502605025,15708.7775448103,14733.4300459516,4200
25620.2866525682,24188.9747452155,19824.4204421561,16063.5757273901,15068.2233270092,4300
26173.1262700166,24713.2953453387,20257.9488770325,16417.5089896368,15402.2896735174,4400
26724.056105299,25235.9393152262,20691.0877124669,16771.9101758007,15735.630251328,4500
27273.8478876879,25756.910583299,21122.5200197489,17125.1672962579,16068.2462246366,4600
27822.5870699795,26275.9597869473,21552.2986772573,17478.5678459902,16400.1387559851,4700
28369.5102805128,26792.322525534,21979.7437038477,17828.1006297455,16731.3090062636,4800
28915.177194883,27306.3679418201,22406.5925563104,18176.941081964,17061.7835052792,4900
29460.9658111307,27818.4229089439,22832.676215414,18526.4234918806,17391.6083073975,5000
30005.1758735927,28331.4652873371,23258.5227304653,18875.2155868835,17720.7178972414,5100
30544.0773477435,28838.9180426893,23684.2408937594,19223.1807697106,18049.113417178,5200
31081.2745008338,29344.4938648399,24106.7184111558,19570.3409511795,18376.7960079596,5300
31616.4170744761,29849.0821548739,24529.085911795,19916.8395686823,18703.7668087261,5400
32147.702246303,30352.3872262428,24949.9206458801,20266.1065014974,19030.0269570064,5500
32680.3142693382,30854.2834162466,25369.9223595991,20615.6819219285,19355.5775887215,5600
33211.1567556365,31356.4365405684,25789.0729428163,20964.8291645163,19680.4198381857,5700
33739.3001730237,31856.6336301189,26206.9982035122,21312.6242425269,20004.5548381094,5800
34265.5861053426,32352.751605281,26625.8999058632,21656.1495088842,20327.9837196009,5900
34790.3261728726,32849.9034122346,27040.5143386124,21998.8903491687,20650.7076121686,6000
35315.7095012385,33345.4295613913,27454.8427350124,22340.8480775741,20972.7276437232,6100
35839.5283182023,33838.9544274954,27866.6114585595,22682.0240063463,21294.0449405794,6200
36359.9325378036,34329.5997379158,28279.757003246,23022.4194457866,21614.6558603064,6300
36881.0412715761,34816.0853453858,28690.7653565856,23362.035704254,21933.3527290587,6400
37395.443836914,35300.8206562204,29100.6407856564,23702.2452339609,22251.3148504675,6500
37910.8256320122,35783.8332596789,29510.205819682,24043.2482649862,22568.5434641188,6600
38423.8767121563,36267.7334572752,29917.0019593649,24382.2462120111,22885.1014657243,6700
38935.6488223683,36748.5703704231,30322.3090551362,24719.9368819255,23202.9094500109,6800
39445.7047952859,37227.4289202602,30725.9840833559,25057.7212891027,23522.1128836411,6900
39954.0138629967,37705.1707812094,31127.8837265829,25394.7863178877,23838.8177506799,7000
40460.5014673143,38182.7563445437,31530.3826124475,25724.6869237152,24153.558361274,7100
40965.4461046267,38661.3910787565,31933.5029295199,26055.9623813629,24467.867513574,7200
41468.6082852814,39141.8720639514,32335.1596009444,26388.0568715819,24782.5884247348,7300
41970.0733399032,39622.0483212236,32734.0496142261,26719.74009511,25095.4958496771,7400
42468.3025536778,40097.38980631,33129.4981168542,27050.4882416351,25407.2264723273,7500
42965.4474390307,40565.9628813506,33525.5349010821,27379.0157926624,25717.8155715616,7600
43464.0359964283,41036.9061653082,33920.4323221677,27706.7356107914,26029.5963239099,7700
43958.2827532808,41508.1004503222,34313.0945416057,28033.6491391034,26340.7914131457,7800
44450.7937973813,41974.5039001054,34707.3015461104,28359.7578184049,26651.2034206003,7900
44940.0407448709,42440.8140964478,35101.0942715896,28686.5120906928,26960.952802154,8000
45426.1103710074,42906.5454879319,35494.3249935559,29012.5567685881,27270.0405887022,8100
45910.4387701005,43368.4770351074,35885.593331756,29337.8349800715,27578.4678097247,8200
46393.0303899044,43823.9267763401,36271.5698233326,29662.3480336125,27886.2354932871,8300
46881.0390050371,44283.4382336551,36661.7854820419,29986.4466279072,28193.3446660428,8400
47366.6615519503,44744.148960805,37048.8623948829,30309.9831106441,28499.7963532349,8500
47846.8353392572,45200.4134835494,37436.1704305328,30633.2495031933,28804.5277066364,8600
48325.2199673066,45652.9393205754,37820.2877090376,30955.6698743245,29107.2488829394,8700
48801.9391459538,46101.0717958228,38203.78791443,31275.1822462982,29409.2655086737,8800
49276.996999601,46547.1157148832,38585.6702997736,31595.0701849322,29710.578771794,8900
49750.3976436843,46997.3305872724,38966.5922647284,31914.2004452196,30011.189858489,9000
50222.085756035,47446.2218355188,39346.3877511397,32232.9071369247,30311.0999531841,9100
50691.8770553058,47893.6163919152,39722.0309636271,32551.2737882857,30610.489777911,9200
51160.1399560751,48339.5811342303,40097.7241898732,32870.6359237332,30908.6194586778,9300
51626.4214808128,48784.5871468821,40477.105350514,33191.4683090492,31206.2791117745,9400
