"q95","q90","Median","q10","q5","Escapement"
0,0,0,0,0,0
3012.78496494126,2800.35155450302,2170.3001342269,1657.03070260226,1524.07012140174,500
5970.68048221482,5548.20778383978,4304.75575504381,3289.0805407954,3027.76681938964,1000
8873.70003114738,8242.44780132599,6403.3947510474,4897.64555652229,4511.78675030414,1500
11722.3673052942,10893.4350263366,8468.27114521547,6478.94913852859,5968.89191377571,2000
14518.5864915299,13492.0770079232,10495.875298421,8036.86118154722,7407.79888002645,2500
17261.7752347006,16040.5776672394,12492.0454293421,9567.99522542405,8818.87667210756,3000
19953.5052063998,18542.193118562,14451.1403464828,11081.0542488507,10223.6998444464,3500
22597.8823337467,20994.7252577463,16380.8618872807,12567.040667054,11596.8208056757,4000
25183.7199797898,23400.9789445493,18277.8970220463,14031.015795442,12945.4042476075,4500
27736.8575665643,25755.118150756,20141.5535556643,15482.040470459,14272.1854539341,5000
30236.3708603349,28064.1336201265,21974.8227842271,16916.334501481,15577.3542674382,5500
32689.0576120249,30325.2919944707,23777.2558197267,18317.6476365567,16871.7448349792,6000
35092.648887084,32557.6551043962,25540.605256151,19694.0596475929,18156.4878012247,6500
37440.1987734657,34737.9782144713,27274.6114549204,21063.2056740102,19419.9377683775,7000
39726.1282043211,36867.1825747708,28990.8434757806,22398.7688169507,20644.1669642149,7500
41999.0684905701,38945.7436168528,30660.9924379559,23709.1719756544,21858.6020782766,8000
44228.0487261466,40990.1814226567,32297.6131940448,25001.1734198912,23061.1987350098,8500
46413.1784540337,43004.5099392903,33907.4236941721,26292.9412232551,24255.060554906,9000
48539.5457876435,44951.6426916057,35487.7416466637,27539.6155295236,25407.2549364775,9500
50638.3916275502,46877.2657553979,37044.5393527417,28760.460559976,26571.245944322,10000
52701.7122567249,48762.4163497391,38566.3966385022,29958.8398319205,27686.0085866609,10500
54730.9183609642,50617.8981197776,40062.9458606358,31153.4473211233,28777.0897147117,11000
56653.4745782247,52438.84623135,41521.2618745473,32319.1617646161,29865.3694075247,11500
58589.0351496862,54210.4016698338,42957.7179295319,33491.8570154386,30936.9709182963,12000
60442.5992291755,55939.0931760144,44357.6748867923,34602.407670126,31990.9070785864,12500
62278.767897226,57627.7330241655,45721.3035756884,35687.3842011711,33025.7365973247,13000
64076.0262013727,59274.0386504601,47062.7599096786,36749.9568965943,34037.2292598122,13500
65793.2220253084,60873.5053708675,48373.1743919239,37831.5138961639,35042.9264114305,14000
67435.581404107,62444.330157476,49669.9825777242,38842.1919671702,36031.5724446885,14500
69057.5206957572,63986.4263547635,50942.8633810277,39874.1729319896,36999.3110552015,15000
70669.6140770461,65467.7458952892,52176.1615352779,40890.1904633801,37950.2263878062,15500
72245.3045689902,66938.9552664027,53404.4000684215,41886.5875822861,38884.4547364727,16000
73821.5267592649,68375.4430521461,54599.9591723167,42866.3164375137,39797.6887637873,16500
75333.5956734155,69784.417635296,55787.0169432085,43825.1468529513,40706.0914712581,17000
76742.4340099842,71146.4080427948,56926.2477503619,44774.398351668,41618.594790044,17500
78290.3669466082,72497.979259204,58029.5574012204,45706.1210689586,42493.2341409973,18000
79696.6930788622,73778.6945620185,59122.451761282,46626.5275342761,43352.0747079691,18500
81006.8570760537,75059.0471075128,60179.5020953341,47533.4162940236,44195.2431329041,19000
82302.2204052393,76299.689815846,61197.470747779,48378.899024445,45022.8651704232,19500
83559.6193413444,77500.9375693265,62206.0622858887,49213.6976290648,45835.065693614,20000
84816.2891442659,78655.4257228743,63213.6806706322,50048.3489805875,46631.968699785,20500
86065.796364252,79798.602780704,64171.5366451261,50846.7435209606,47413.6973161844,21000
87198.6886515481,80917.1406443621,65115.5802751365,51671.2530679681,48165.7430880437,21500
88300.548025532,82037.2481471073,66046.0511495685,52428.7241445862,48918.4963177594,22000
89432.7684460895,83071.4392659301,66936.1435992762,53207.7554280883,49656.4443839077,22500
90501.4179249973,84062.290489068,67819.2180205635,53944.7068264624,50385.9531897371,23000
91634.8107336593,85095.5178698741,68662.4426822965,54689.3587262315,51067.8240066707,23500
92655.1463358719,86067.7183237346,69507.7762524766,55441.4229541345,51723.8799442506,24000
93641.4063989272,87002.0480531204,70299.3344953532,56120.1620926459,52357.4277138134,24500
94484.2299091977,87970.102037685,71085.1666949019,56815.5800802149,52993.9673440835,25000
95349.7961640614,88810.3590264083,71816.5990492698,57451.5213040725,53666.4832310794,25500
96247.8455591236,89625.8941925968,72547.6924839058,58116.9270711397,54258.1346657111,26000
97192.2613024957,90439.8452011758,73268.5994752954,58749.42734668,54869.2987839812,26500
98109.2461946564,91183.707587208,73960.1683004448,59354.318776578,55467.9790330305,27000
98991.8644762571,91958.0285895289,74632.9202410514,59946.2275694127,56053.5846840025,27500
99810.0852700858,92681.4053806254,75281.817937617,60557.9213464784,56676.6314808914,28000
100510.814085349,93440.7452107441,75921.9846355784,61109.1588641027,57293.1359134581,28500
101169.448782729,94180.355260721,76515.6942187991,61651.8892185952,57811.3651772809,29000
101848.154272202,94835.2780723023,77125.4313468094,62170.1024034955,58277.7321207532,29500
102455.471945254,95527.9967292177,77688.3776245504,62681.6739463269,58740.7890295118,30000
103175.737262828,96185.9640036373,78251.8641879405,63220.5296181912,59243.0477946097,30500
103766.955005936,96801.244655705,78788.0708076755,63696.2253798183,59736.1316936575,31000
104273.890253638,97380.1082394594,79317.3534096978,64141.2120318475,60189.723695048,31500
104773.981713062,97918.5587428284,79801.0946941617,64589.0288125049,60605.544097914,32000
105220.137252595,98422.2748296827,80294.4339868946,65026.6900941877,61015.3880799144,32500
105686.027563024,98882.0515714766,80748.8166039804,65493.558890345,61398.1102924459,33000
106177.520266455,99468.8043269864,81183.97317714,65925.3443014784,61769.7879385601,33500
106644.763489761,99889.3869953214,81588.9525464748,66347.2557512023,62082.87889861,34000
107088.077937475,100377.462243484,81987.171907784,66719.3280103666,62447.439967546,34500
107645.461375372,100813.17021064,82357.2142176098,67122.2072689773,62756.2653609676,35000
107922.293777534,101135.988663736,82706.9821727259,67515.3572375752,63130.112127233,35500
108330.536627924,101524.07661587,83058.2360757264,67839.4399732868,63491.969261676,36000
108652.821425617,101951.817080648,83420.0666951452,68125.2655907344,63843.6216426657,36500
109030.784499801,102269.022187112,83785.3494549344,68489.1156038566,64183.6242108846,37000
109314.804238545,102661.251126272,84096.2465449627,68809.4960550441,64477.1166510251,37500
109640.797397856,102934.767399512,84387.6462171026,69065.6595876262,64825.8136157552,38000
109944.849071797,103150.620352046,84670.0732075178,69358.0586647497,65085.7911193236,38500
110172.462265389,103410.179545307,84987.5139405401,69613.1628376594,65349.9350638347,39000
110273.202739479,103655.011622097,85247.5765429042,69788.5622007897,65540.4687760912,39500
110473.477356861,103880.681542376,85491.7379732741,69963.680169013,65759.2492045336,40000
110653.395911038,104099.599290782,85706.112427858,70251.8502538844,65900.9912201996,40500
110861.346285434,104349.057675889,85915.1659862939,70469.8001759322,66041.3126103215,41000
111158.83979472,104449.371640361,86089.4524593254,70671.5093873561,66268.0849278424,41500
111273.669705435,104597.721366868,86242.7602596635,70865.1319539288,66504.2244785789,42000
111325.03547165,104743.693482276,86411.9876619896,71041.9900779797,66705.617967189,42500
111531.282406155,104915.312645876,86511.2662124463,71194.3087832242,66897.8844356264,43000
111733.931477063,104970.240810908,86666.9825982489,71353.4466351022,67086.3802888829,43500
111942.529660935,105088.682610282,86754.5687247977,71475.7144819415,67263.4411216229,44000
112032.272219911,105184.724089503,86821.7181978626,71561.2235981095,67439.6355361317,44500
112076.945586159,105151.164948186,86881.7205767485,71625.64919447,67595.8827202671,45000
112135.18425872,105192.574409833,86991.80738785,71768.0461619936,67742.2238121493,45500
112324.655234663,105272.195946989,87064.0520654294,71909.7429304111,67879.2511251366,46000
112187.522301966,105352.660972123,87109.4223510786,72006.8018549208,67954.6302156132,46500
112033.423873344,105336.588957279,87158.8978973741,72091.8850103159,68021.1817380895,47000
111925.576310352,105317.491859138,87182.1839089764,72168.6849729218,68128.3983458564,47500
111969.051196033,105268.618163998,87184.6837092541,72261.8122354474,68230.9502335048,48000
111944.102624648,105216.939071073,87189.9851417826,72289.1667257454,68326.4835537406,48500
111901.196196682,105245.844164019,87177.7296498283,72305.3007508766,68409.6731579639,49000
111712.136491059,105300.391178409,87107.8039770162,72264.8069791054,68447.9818212875,49500
111620.087712495,105298.536870835,87064.7673389123,72275.5690751843,68516.4819396786,50000
111513.884918119,105126.659236627,87023.3953162433,72241.9289475514,68516.1779665464,50500
111438.681984012,104943.338155212,86952.1572452709,72191.8096556744,68535.910824179,51000
111310.638206124,104855.419989294,86898.6899678384,72124.8629964323,68543.2256602976,51500
111106.473899925,104700.903595079,86832.1410112123,72004.3898583675,68515.6639937648,52000
110988.449185781,104542.467594619,86722.5483932745,71908.6738103804,68494.2608188658,52500
110763.930901308,104377.89096452,86647.6630548039,71792.4260763506,68427.8525761815,53000
110580.469149206,104178.504235378,86535.9590134147,71653.9315696768,68372.3219751437,53500
110349.951655551,104086.802086589,86397.5569172118,71611.5076628983,68268.9076805615,54000
110113.309893155,103882.633815022,86234.098803953,71472.1309227479,68196.9877900716,54500
109849.360213342,103675.886854948,86052.3209656166,71350.936351672,68033.1710915962,55000
109597.450945968,103428.383642797,85908.4052123655,71239.7353727523,67980.0464621167,55500
109384.329219685,103145.187401547,85721.6670739286,71117.7753851667,67851.4185284166,56000
109035.356759363,102932.978170302,85521.1517972395,71014.249077635,67614.1964073671,56500
108826.664942537,102791.736164676,85311.0625967605,70863.7754115099,67398.200649493,57000
108524.538403591,102574.475612225,85153.8047191817,70756.9478877259,67280.7413488268,57500
108314.560592288,102342.378808363,84926.0452412673,70573.5852111118,67088.2404839678,58000
108128.08467043,102121.318339901,84645.1780372284,70404.8064624318,66836.2532534557,58500
107662.033827704,101938.18351157,84393.8710241132,70224.9971002478,66594.6496730723,59000
107330.50614185,101524.293348417,84073.1053634815,70056.3324875115,66392.5520011604,59500
106913.180695002,101180.715035955,83871.3313884647,69811.1033472899,66162.9888551257,60000
106486.752310296,100854.192634809,83562.2218940257,69632.8804912405,65912.6739554676,60500
106128.945840035,100491.088734431,83255.8955534573,69362.5058501467,65648.5323920189,61000
105804.002458754,100072.680884909,82948.4839361357,69136.2689109155,65420.8529963077,61500
105459.761815237,99729.875766249,82638.5072244384,68888.1979003369,65130.7176139123,62000
105208.624280883,99419.6260366657,82326.1017101763,68587.4229996878,64821.9468831821,62500
104865.593478093,99048.2217567944,82021.2879725537,68287.6965296406,64504.3935436966,63000
104533.693308631,98716.1166055007,81623.9173925511,68044.4408714851,64287.3331997582,63500
104196.04943271,98373.8190847787,81282.5153103885,67787.4389991743,64083.1369165133,64000
103824.65904358,97830.2651735125,80935.4427209268,67504.9604387282,63875.4052119107,64500
