"","variable","0","2.5","5","50","95","97.5","100","mean","sd","post_cv"
"1","lnalpha",0.820469391745025,1.25540584929305,1.3147139676781,1.59608349620904,1.86943515781104,1.92448231125966,2.24814832204002,1.59551060473484,0.170225655830746,0.106690394489128
"2","lnalpha.c",0.961151064184679,1.35416084383819,1.41165277077313,1.68692899418592,1.97008738278366,2.03015961367034,2.35411225117567,1.68765644260034,0.171161252218489,0.101419487934857
"3","beta",0.0302783842050797,0.0963849426560533,0.102386845761784,0.134931040018274,0.166825211745652,0.173451296723815,0.218009918227314,0.134881100410149,0.0197373621279107,0.146331562152836
"4","beta1",3.02783842050797e-06,9.63849426560533e-06,1.02386845761784e-05,1.34931040018274e-05,1.66825211745652e-05,1.73451296723815e-05,2.18009918227314e-05,1.34881100410149e-05,1.97373621279107e-06,0.146331562152836
"5","alpha",2.2715658415804,3.50926231712875,3.72368577034391,4.93367179194941,6.4846325745409,6.85160075106829,9.4701838603389,5.00244938523298,0.852453617723241,0.170407244946775
"6","alpha.c",2.61470443454097,3.87350913965932,4.1027306943661,5.40286297857031,7.17130310941632,7.61530220575233,10.5287778014984,5.48674630119067,0.950269355596545,0.173193602078946
"7","Smsy_lambert",34175.2095676011,39686.5840361049,40621.7792840433,45984.1922518109,54117.9995636552,56567.8625686575,120719.768391399,46548.7662383351,4415.60206175577,0.0948597013108225
"8","Smsy_lambert.c",35327.1272606139,41046.8986371389,42009.7499366715,47776.1388709228,57006.3361779834,59684.3397504268,142673.409834525,48455.172550294,4987.52800397186,0.102930765519307
"9","Umsy_lambert",0.3655199528503,0.520465795582485,0.53942796214171,0.622335212866771,0.691948112656924,0.70470429075733,0.771579829427868,0.620089518464943,0.0470261946353173,0.0758377512197474
"10","Umsy_lambert.c",0.418686310108388,0.551752065709155,0.56930279419126,0.646645504556313,0.714960360469356,0.728044125655227,0.790600566288367,0.644753666718069,0.0447754439201757,0.0694458150941461
"11","Smax",45869.4727345992,57653.0714322424,59942.9783973776,74111.9315420669,97668.7973407194,103750.648048077,330268.614476539,75888.5194839565,12578.9704984906,0.165755908588386
"12","Rmsy.c",87193.9944935873,114094.402303829,117673.554542817,136344.815496877,160540.741660264,167248.214474459,301605.752960579,137499.292344404,13979.3985043266,0.101668876006369
"13","Rmsy",73736.1936763841,101598.325422625,105253.629330976,123037.349577982,142801.273801978,148069.201404916,201349.822987331,123504.723966128,11816.038697285,0.0956727671447258
"14","Seq",90778.874175344,104670.886204745,106858.550945118,118114.035728987,135233.701529256,140382.370964939,270975.289232038,119263.632527715,9233.68266070344,0.0774224502893423
"15","MSY",34504.0717850316,54667.6578020765,58431.0830269848,76481.3292654588,97454.3944631386,101424.512749698,142702.883254081,76955.957727793,12038.7998110298,0.15643752824977
"16","MSY.c",43905.6952909519,65362.1571661896,68961.6912029602,88009.4252754118,112680.978498089,118303.889575887,213595.566323922,89044.1197941095,13903.7756551672,0.156144793023009
"17","Rmax.c",103725.443052725,128511.158739292,131656.317235322,148305.622174192,171274.113171735,178406.351223274,329480.829107556,149681.784367643,13324.6232158421,0.0890196711118477
"18","Rmax",91481.9598840776,116847.539169068,120120.392684619,135813.596281956,154444.423373903,159106.734885215,275993.053897684,136431.043639811,10962.9341521467,0.0803551292995292
