"variable","X2.5","X50","X97.5","post_cv"
"lnalpha",1.28396962926302,1.59332778872667,1.89674868772937,0.0976714366830434
"lnalpha.c",1.37321532580854,1.67435338840307,1.98832881255279,0.0934616504061704
"beta",0.0986191775922459,0.135392270127364,0.171752090840204,0.13710611849445
"beta1",9.86191775922459e-06,1.35392270127364e-05,1.71752090840204e-05,0.13710611849445
"alpha",3.61094542725323,4.92009475684979,6.6641918674243,0.156531966198121
"alpha.c",3.94802462721661,5.3353441380851,7.30331841119103,0.158524500981046
"Smsy_lambert",40036.9663267276,45859.5807576869,54876.7207155258,0.0832212609946272
"Smsy_lambert.c",41271.4548149383,47445.2990148926,57800.5155283602,0.0885735356181069
"Umsy_lambert",0.52966325888978,0.621579231053035,0.698329329879967,0.0691503873886106
"Umsy_lambert.c",0.557622843691682,0.643350793439657,0.71898424902567,0.0641039167344934
"Smax",58223.4542431614,73859.4603190858,101400.156079576,0.14711135959739
"Rmsy.c",115640.392973987,134128.392666123,157970.850963745,0.0798153826649169
"Rmsy",104479.849090061,122097.52103354,142012.260719526,0.077969411771794
"Seq",105989.093640483,117694.083653985,135893.915539551,0.0648354515160998
"MSY",57262.1721440196,75618.0732660271,97764.8004865519,0.135214313389472
"MSY.c",66516.8196935777,86061.7677840777,111505.272374656,0.131738921590417
"Rmax.c",129607.857978379,146260.881309452,168942.312697775,0.0674790141241212
"Rmax",119211.395396867,134786.364389741,152892.364777767,0.0634035668554594
