"q95","q90","Median","q10","q5","Escapement"
0,0,0,0,0,0
682.231207845263,639.051690927433,517.840906427776,419.921521229954,392.351437651717,100
1362.3236249527,1276.17547144742,1034.34086047431,838.995922737415,783.86551923452,200
2040.28228111938,1911.35368607085,1549.47121606674,1257.13830778167,1174.54358540338,300
2716.11219562593,2544.52004833907,2063.22076844509,1674.32455609092,1564.38697490483,400
3389.8071924133,3175.72465801518,2575.697108834,2090.59699159429,1953.43276090622,500
4060.6825178001,3804.83523262515,3086.48575532115,2506.08985267157,2341.78282638261,600
4729.1650207892,4431.94550358976,3595.74671563668,2920.35011633966,2729.3567807766,700
5395.29330326527,5057.06022873814,4104.08775576965,3333.86752309685,3116.15578577005,800
6059.07356228935,5680.1646488573,4611.25445454806,3746.5941473043,3502.18100149935,900
6720.51198043327,6301.50702421969,5116.86959605396,4158.03605357237,3887.43358655737,1000
7379.6147258114,6921.02619929411,5620.83190427684,4568.63476076901,4271.91469799541,1100
8038.00813666845,7537.8938052148,6122.95636116689,4978.382031222,4654.8697198949,1200
8694.44187411509,8152.73041176217,6623.75112821971,5387.20555168209,5036.87355669105,1300
9348.83624610894,8765.84493131159,7123.44892498532,5795.06206085876,5417.9768393461,1400
10001.4659607167,9377.25418485814,7622.74193753411,6201.89806148682,5798.18115317899,1500
10651.6393753309,9986.21723317099,8119.61926020044,6607.82884206776,6177.60860718454,1600
11300.0332764462,10593.4525196369,8615.49446850086,7012.82759277844,6556.64503805191,1700
11946.2772273591,11198.5354469289,9110.2062261262,7416.70626575376,6934.85845097873,1800
12588.0427071126,11802.4539050243,9603.08985258949,7819.81360483818,7312.25017905424,1900
13227.5398484761,12404.7697631896,10094.9898307309,8221.99911697042,7688.8215534502,2000
13864.7296076472,13005.1248288905,10586.199089144,8623.25749957068,8064.5834327286,2100
14500.6035880883,13603.593385748,11075.859924404,9023.59034393078,8439.62434528763,2200
15134.4945200485,14200.1987007116,11563.4425208827,9422.99923891901,8813.85827255053,2300
15766.2355710023,14794.948280983,12049.3124957341,9820.60304994471,9187.28650811955,2400
