"parameter","X0.","X2.5.","X5.","X50.","X95.","X97.5.","X100."
"lnalpha",0.980950639816392,1.24744287277964,1.32062030849348,1.59894964085581,1.87474474075329,1.90283082542018,2.33110371740054
"phi",-0.43305721962897,-0.257820497701846,-0.188817674599629,0.0819875188796787,0.344989262311882,0.436201413638228,0.580285333360063
"beta",0.0692264360609451,0.100143208174819,0.107137896644966,0.136374659068485,0.168717053327758,0.175441608459616,0.198966043400609
"sigma",0.293268617803287,0.338246791405451,0.350005682534295,0.410754824228666,0.480898766257704,0.506492612005589,0.541703820908813
"sigmaw",0.0149510931258442,0.0711566610739366,0.176931694983883,1.08944436664242,1.93032406379147,1.96061701500104,1.97636354294986
"Tau",3.40781650668861,3.89811137206121,4.32407443548282,5.92700933437067,8.1631188330087,8.74309917271381,11.6270305976613
"tauw",0.256015542550301,0.260144461966412,0.268378786571769,0.842680436323388,31.9935323201913,206.261233762547,4473.56865568118
"alpha",2.66699038445958,3.48225688919483,3.74579371438463,4.94784725771135,6.51928225806823,6.70498660184185,10.2892917385126
"lnalpha.c",1.08924516339996,1.33465501264272,1.43197361863493,1.68762541284945,1.95052609255077,2.0104110916824,2.46447397413919
"e0",-0.528105598278665,-0.318761376397246,-0.2645864723165,-0.0275427661160412,0.336561660231466,0.445755154162997,0.495094006832153
