"q95","q90","Median","q10","q5","Escapement"
0,0,0,0,0,0
537.00251343161,494.921121694313,386.223046228022,306.397181631894,289.687492346344,100
1071.91119828914,988.184618504843,771.19077867986,611.863804847448,578.49487418122,200
1604.73122403828,1479.79396101361,1154.90563140793,916.4014680103,866.423653303063,300
2135.46774878333,1969.75261332993,1537.37003426365,1220.0117670433,1153.47533518833,400
2664.12591929059,2458.0640331018,1918.58641290426,1522.69629543201,1439.65142299489,500
3190.71087101179,2944.73167152716,2298.55718879961,1824.45664422819,1724.9534175654,600
3715.22772810742,3429.75897336526,2677.28477923892,2125.29440205328,2009.3828174307,700
4237.68160347005,3913.1493769479,3054.77159733761,2425.21115510188,2292.94111881316,800
4758.07759874761,4394.90631419074,3431.02005204401,2724.20848714523,2575.56854687284,900
5276.42080436652,4875.0332106045,3806.03254814615,3022.28797953469,2857.28880537899,1000
5792.71629955496,5353.53348530623,4179.8114862785,3319.45121120518,3138.1239716071,1100
6306.96915236591,5830.4105510305,4552.35926292867,3615.69975867866,3418.07559620234,1200
6819.18441970026,6305.6678141406,4923.67827044417,3911.03519606761,3697.14522737217,1300
7329.36714732984,6779.3086746397,5293.77089703911,4205.66004519419,3975.33441088995,1400
7837.52236992037,7251.33652618202,5662.63952680088,4499.43347304791,4252.64469009857,1500
8343.65511105444,7720.48830774019,6030.2865396969,4792.33059629121,4529.07760591407,1600
8847.77038325436,8187.61776522699,6396.71431158122,5084.35287017169,4804.63469682925,1700
9349.87318800506,8652.96073231618,6761.92521420125,5375.50174779112,5079.31749891725,1800
9849.96851577682,9116.52140039538,7125.9216152044,5665.77868010846,5353.12754583519,1900
10348.0613460481,9578.30395211768,7488.70587814473,5955.18511594279,5626.06636882775,2000
10844.1566473281,10038.3125614187,7850.28036248959,6243.72250197628,5898.13549673074,2100
11338.2593771797,10496.5513935335,8210.64742362623,6531.39228275716,6169.3364559747,2200
11830.3744822418,10953.0246050138,8569.80941286847,6818.19590070263,6439.67077058848,2300
12320.5068982521,11407.7363437449,8927.76867746324,7104.13479610184,6709.13996220283,2400
12808.6615500695,11860.6907489625,9284.52756059725,7389.21040711882,6977.74555005393,2500
13294.8433516964,12311.8919512696,9640.08840140349,7673.42416979543,7245.48905098698,2600
13779.0572063018,12761.3440726537,9994.4535349679,7956.77751805424,7512.37197945976,2700
14261.308006243,13209.0512265031,10347.6252923359,8239.27188370156,7778.39584754618,2800
14741.6006330881,13655.0175176244,10699.6060005188,8520.90869643026,8043.56216493983,2900
15219.9399576387,14099.2470422586,11050.3979825008,8801.68938382277,8307.87243895749,3000
15696.3308399518,14541.7438880983,11400.0035572448,9081.61537135396,8571.32817454274,3100
16170.7781293619,14982.5121343044,11748.4250396998,9360.68808239405,8833.93087426942,3200
16643.2866645036,15421.5558515224,12095.6647408065,9638.90893821157,9095.68203834521,3300
17113.8612733334,15858.8791018996,12441.7249675045,9916.27935797619,9356.58316461512,3400
17582.5067731519,16294.4859391014,12786.6080227386,10192.8007587617,9616.63574856501,3500
18049.227970626,16728.3804083279,13130.3162054652,10468.4745555488,9875.84128332514,3600
18514.0296618105,17160.5665463305,13472.8518106587,10743.3021612283,10134.2012596736,3700
18976.9166321703,17591.0483814286,13814.2171293181,11017.2849866034,10391.71716604,3800
19437.8936566025,18019.8299335259,14154.4144484737,11290.4244403932,10648.3904885086,3900
19896.9654994579,18446.9152141269,14493.4460511929,11562.7219292354,10904.2227108222,4000
20354.1369145631,18872.3082263533,14831.3142165873,11834.178857689,11159.2153143855,4100
20809.412645242,19296.0129649608,15168.0212198188,12104.7966282373,11413.3697782684,4200
21262.7974243379,19718.0334163548,15503.5693321058,12374.5766412908,11666.6875792097,4300
21714.295974235,20138.3735586073,15837.9608207303,12643.52029519,11919.1701916204,4400
22163.9130068798,20557.0373614731,16171.1979490434,12911.685290192,12170.8190875875,4500
22611.6532238033,20974.0287864058,16503.2829764726,13179.0326629911,12421.635736877,4600
23057.5213161421,21389.3517865745,16834.2181585273,13445.5507821689,12671.6216069376,4700
23501.5219646599,21803.0103068797,17164.3350104134,13711.2410276292,12920.7781629043,4800
23943.6598397694,22215.0082839696,17493.9788755506,13976.1047772434,13169.1068676014,4900
24383.9396015533,22625.3496462562,17821.4864928279,14240.1434068533,13416.6091815465,5000
24822.3658997858,23034.0383139317,18147.8240713258,14503.3582902738,13663.2865629535,5100
25258.9433739543,23441.0781989841,18473.0212727426,14765.7507992957,13909.1404677363,5200
25693.6766532802,23846.4732052139,18797.0803354507,15027.3223036886,14154.172349512,5300
26126.5703567404,24250.2272282495,19120.0034939348,15288.0741712037,14398.3836596045,5400
26557.6290930885,24652.3441555639,19441.7929787982,15548.0077675764,14641.7758470479,5500
26986.8574608762,25052.8278664899,19762.4510167686,15807.1244565291,14884.3503585898,5600
27414.2600484739,25451.6822322369,20081.979830705,16065.4255997744,15126.108638695,5700
27839.8414340925,25848.9111159059,20400.3816396038,16322.9125570172,15367.0521295483,5800
28263.6061858039,26244.5183725064,20717.658658605,16579.5866859579,15607.1822710586,5900
28685.5588615622,26638.5078489713,21033.8130989984,16835.4493422952,15846.5005008619,6000
29105.7040092248,27030.8833841736,21348.8471682301,17090.5018797286,16085.0082543246,6100
29524.046166573,27421.6488089414,21662.7630699086,17344.7456499612,16322.7069645474,6200
