"","variable","0","2.5","5","50","95","97.5","100","mean","sd","post_cv"
"1","lnalpha",1.12380624264278,1.32502580952315,1.36130433584184,1.58278700960563,1.85318049563982,1.89137906506033,2.06057499174643,1.58956631549958,0.15899024784745,0.100021148093769
"2","lnalpha.c",1.2097094627327,1.42703310642855,1.45342528556854,1.6708022627558,1.95175037295341,1.99350839675329,2.30649380663006,1.67972128147647,0.165426761020358,0.0984846491168756
"3","beta",0.0727710578943915,0.101729883117733,0.105050586311492,0.133591603990528,0.165448489334553,0.169407049771488,0.200303250977812,0.133835134319264,0.0185778985076018,0.138811819497892
"4","beta1",7.27710578943915e-06,1.01729883117733e-05,1.05050586311492e-05,1.33591603990528e-05,1.65448489334553e-05,1.69407049771488e-05,2.00303250977812e-05,1.33835134319264e-05,1.85778985076018e-06,0.138811819497892
"5","alpha",3.07654201126144,3.76271255852397,3.90128050782732,4.86851515518532,6.38051153718936,6.628674183449,7.85048247545041,4.96400972435355,0.802836194772444,0.16173139041886
"6","alpha.c",3.35251048180545,4.16744909613228,4.27775399509575,5.31643654318809,7.04101183182328,7.34124496580315,10.0391636261981,5.43903472180432,0.937829130004766,0.172425656016709
"7","Smsy_lambert",36668.7143391443,40915.0327038853,41274.3983181013,46257.1334689306,53480.2946215564,54555.7925170228,65483.4833257444,46729.0583402857,3920.41210363789,0.0838966639363682
"8","Smsy_lambert.c",39051.8224145558,42114.0776574334,42758.4495233732,48088.2997169661,55959.1705219847,57458.4416402211,69464.4899070128,48578.4701881116,4291.7510566464,0.0883467725522716
"9","Umsy_lambert",0.476530235622416,0.542654827156,0.553959214194457,0.618677131247576,0.688092492382589,0.697079397516243,0.734486269130733,0.618736046543932,0.0435871852322685,0.0704455243487638
"10","Umsy_lambert.c",0.50550044166276,0.573875349094628,0.581749394060628,0.642416196048929,0.710870133979922,0.720118694489051,0.782220698624372,0.642831170098002,0.0428395677396522,0.0666420200705593
"11","Smax",49924.3020329596,59029.8525776664,60448.5360969331,74855.006327576,95193.6586798992,98301.830031611,137417.268476603,76238.7674166205,11382.7352573191,0.14930376818812
"12","Rmsy.c",109340.148450816,115662.424285255,118725.697249082,137260.371029922,156262.039680068,162641.894067616,179318.338188618,137003.691563475,11811.6494094748,0.0862140959464759
"13","Rmsy",98449.7960352373,105606.337580428,108213.782190207,123389.843855435,137932.454203368,146100.434769693,150671.738649738,123352.823167927,9941.88784304708,0.0805971650078299
"14","Seq",102872.768249512,107539.16858236,108334.67396865,118598.299721726,132742.676462987,135629.124356593,154430.384160925,119592.491003355,7800.55775091892,0.0652261499486625
"15","MSY",54570.6992381847,59444.0202970403,62038.0889175619,76306.5212421367,95103.1972051846,100294.686682967,104875.864189405,76623.7648276414,10738.702764885,0.140148461629898
"16","MSY.c",63422.6814807635,68373.2656273466,71605.1064611289,88245.2798227472,109073.054462895,116026.564526289,140266.515774062,88425.221375363,12697.2618158831,0.143593214903964
"17","Rmax.c",123860.396624863,126950.117674918,132455.621921845,149709.511376576,168245.085363142,171298.343569484,184380.52735567,149284.510373235,10766.6932194402,0.0721219716132757
"18","Rmax",113737.838896196,118988.051012713,122214.6937986,135707.863297849,150925.893352535,156275.996644052,159730.020214287,136356.185075151,8934.06705189733,0.0655200719129345
