"variable","X2.5","X50","X97.5","post_cv"
"lnalpha",1.30215939374415,1.6058324809949,1.92861105927121,0.103906235397718
"lnalpha.c",1.39263185871385,1.69393638082258,2.00236303969485,0.0993531178983608
"beta",0.104893226112271,0.137543045020779,0.174516804284296,0.1348917826725
"beta1",1.04893226112271e-05,1.37543045020779e-05,1.74516804284296e-05,0.1348917826725
"alpha",3.67723432597322,4.98201083121456,6.8813331542181,0.169845170560785
"alpha.c",4.02553970632956,5.44085911366191,7.40823786148745,0.171010594842004
"Smsy_lambert",40165.0638082789,45597.7025549471,53513.0797858101,0.0725877585449684
"Smsy_lambert.c",41349.8724778722,47175.1044295172,55314.3347479973,0.0774431438656119
"Umsy_lambert",0.535457166764292,0.625000720250755,0.70561728232115,0.0726458736766376
"Umsy_lambert.c",0.563546116059559,0.648471517246578,0.722019486782348,0.067423689054094
"Smax",57303.7692990923,72704.6479142926,95336.5131848592,0.137408942826314
"Rmsy.c",114504.809672109,135116.050724971,158203.66124821,0.083457521898365
"Rmsy",104485.173516273,123332.829212255,141995.10611475,0.0827886045308066
"Seq",107264.294511045,117013.945105992,133194.372881161,0.0531227134083121
"MSY",57450.7800283566,75958.3507839033,100212.612799886,0.148237154592505
"MSY.c",66282.3836551156,86885.5997373707,112879.871721316,0.143518165514405
"Rmax.c",129963.687450344,147347.814468137,169561.042413859,0.0662057022727631
"Rmax",119888.237196681,136390.653737069,152413.266478545,0.0626009473642063
