"","variable","0","2.5","5","50","95","97.5","100","mean","sd","post_cv"
"1","lnalpha",0.941667294358103,1.27421901650142,1.32754493906428,1.5867905487474,1.84471332505967,1.88954198234724,2.20381797125075,1.5875235663547,0.156673913367737,0.0986907638338212
"2","lnalpha.c",1.06962561338784,1.36345949936485,1.41297072283174,1.66832587050046,1.93190116540495,1.98297411883522,2.33862082027761,1.67164380436958,0.157374341974563,0.0941434661877106
"3","beta",0.0576550736582041,0.0989335500294982,0.104608454144454,0.135749057871613,0.166032172125509,0.172170887003792,0.210615183525268,0.135569547168108,0.0185381083370046,0.136742422795121
"4","beta1",5.76550736582041e-06,9.89335500294982e-06,1.04608454144454e-05,1.35749057871613e-05,1.66032172125509e-05,1.72170887003792e-05,2.10615183525268e-05,1.35569547168108e-05,1.85381083370046e-06,0.136742422795121
"5","alpha",2.56425322109164,3.57590760475345,3.77177208154409,4.88803581413783,6.32628594310105,6.61633759158673,9.05953660368569,4.95195423940654,0.779641123069208,0.157441100094383
"6","alpha.c",2.91428822521491,3.9096955295152,4.10814144421916,5.30328198054674,6.90262081732518,7.2643158277016,10.3669288404993,5.38748476181358,0.858971428891325,0.159438303191074
"7","Smsy_lambert",36134.0970116216,39899.8387238685,40651.1813784198,45642.2342871278,52959.1496722841,54707.9981223603,75152.4638667893,46079.8372366406,3803.41409971236,0.0825396600291821
"8","Smsy_lambert.c",36828.5305418015,41098.952261903,41944.2605602139,47258.9160437594,55443.9868750354,57580.4638178065,82791.5391866579,47807.9682024286,4213.03005956116,0.0881240140079233
"9","Umsy_lambert",0.41149590330352,0.526537162034239,0.543461874203414,0.619781460665243,0.686083875821728,0.696655575957311,0.763215047609811,0.618212319990217,0.0432938412596592,0.0700306995828623
"10","Umsy_lambert.c",0.457696374199136,0.554623719190277,0.569699423479677,0.64176362510351,0.706391870434525,0.71780767651364,0.787904095131069,0.640873428747617,0.0414144197500762,0.0646218393404255
"11","Smax",47479.9576774116,58081.8288975355,60229.291031805,73665.3362967713,95594.5681617658,101077.945722368,173445.27316508,75234.4868995587,11027.2997884053,0.146572406390267
"12","Rmsy.c",102056.557558188,114565.348594881,117474.691226031,133407.073449485,152350.816815662,156864.491553864,199250.028372978,133953.242264957,10869.5769208849,0.0811445601248308
"13","Rmsy",90860.3674091519,102833.763794419,105999.848625087,121205.467735909,137605.836130453,141148.701104639,172882.144937194,121459.929711134,9702.41099266736,0.0798815791820594
"14","Seq",98291.1577777216,105244.206371519,107133.595677052,117144.436916738,131551.941356266,135140.430773471,173653.985285652,117891.406895896,7619.26675890137,0.0646295345820206
"15","MSY",39313.6499415717,55894.5481849882,58975.101652648,74863.9788403993,92924.1819280998,97187.5715669037,131946.254479127,75380.0924744939,10404.9564944612,0.138033214777256
"16","MSY.c",52780.5924577485,65587.6685207026,68639.0683326216,85205.7234694319,105834.34572852,110789.505391206,156989.913310051,86145.2740625288,11525.6527891557,0.133793210533985
"17","Rmax.c",116067.615538445,128685.548921391,131070.654565194,145626.909966859,163292.537782638,168309.755248979,204556.344020758,146124.603301536,9998.92158588937,0.068427365138888
"18","Rmax",105682.210223183,118171.789742096,120692.032475976,134029.279841693,148895.330556039,152040.370011424,178759.371717932,134305.046023969,8681.82710684101,0.0646425980546672
