"q95","q90","Median","q10","q5","Escapement"
0,0,0,0,0,0
892.537994340105,819.45476754602,593.904177318032,420.746059723352,379.5757930106,100
1780.36584083473,1634.56386737111,1185.31503922483,839.881413432902,757.835253855228,200
2663.50030466096,2445.34270396238,1774.16886664465,1257.33260177917,1134.71616206568,300
3541.67696941064,3252.84594091314,2360.23483226611,1673.32854192962,1510.24310804514,400
4415.03945246132,4055.96334739187,2943.65180918567,2087.77674663538,1884.41897265425,500
5283.61463762577,4854.52046017893,3524.42747136403,2500.67836732549,2257.2466313055,600
6147.42012673147,5649.71767243943,4102.5694729651,2912.03688591609,2628.72895397291,700
7006.47346412304,6441.28231404517,4678.31520819887,3321.85964965777,2998.86880520163,800
7861.32888202424,7228.95154473018,5251.86990011543,3730.15942871662,3367.66904411761,900
8712.38059247235,8012.77561193897,5822.69966052293,4136.98450876941,3735.4166807271,1000
9558.9892994301,8792.76693856968,6391.0132832664,4542.29464426001,4101.19529722524,1100
10400.9351615704,9568.9379118861,6956.01515235033,4945.84369083038,4465.51034375495,1200
11239.1204145522,10341.3008836134,7518.04742244319,5347.66825643121,4829.36575342615,1300
12072.0029910343,11109.3563218038,8078.37033531269,5747.46321028327,5191.43021021877,1400
12899.5874329683,11872.2284386982,8634.72115777539,6145.62617852065,5552.16263197185,1500
13725.2458703469,12630.6240377155,9189.5384182215,6543.44634092183,5911.56588159319,1600
14544.8259285262,13384.9654015496,9742.38885210531,6939.19939161881,6269.64281652757,1700
15359.7742229129,14135.2667213832,10293.1799819285,7332.18772427003,6626.39826409722,1800
16170.2827459258,14881.5421443705,10841.0640876753,7723.27718549784,6981.95508707208,1900
16976.3635184125,15625.6763980093,11385.9492698956,8112.75811447127,7336.20680604387,2000
17778.0573381582,16366.7534979654,11926.7787104255,8500.56829374353,7689.15620253251,2100
18575.3798885149,17104.0929093488,12466.1625024806,8886.71195409349,8040.80605279705,2200
19368.3468031857,17837.7069046131,13003.1055495122,9271.19331680192,8391.15912784504,2300
20156.9736663717,18564.339021788,13538.4316407584,9654.44174974637,8740.08651896597,2400
20941.2760129193,19286.3583124211,14072.5279905135,10036.5387297132,9086.75659145063,2500
21721.2693284656,20004.3843295345,14600.8663167062,10417.9679231045,9430.78595769488,2600
22496.9690495851,20723.2116603643,15125.997606459,10798.8221136562,9773.3524456272,2700
23269.3027469346,21439.4904891456,15651.0855049976,11179.6174098083,10114.5518038285,2800
24043.5706034695,22150.8116563852,16172.3853581952,11559.0712637497,10454.4924499531,2900
24814.0462613497,22856.5340311017,16693.9472760898,11937.1864512701,10795.735754274,3000
25580.5785373573,23558.1916978411,17211.7351828592,12313.9657430606,11134.6812273027,3100
26333.2482883118,24256.1039044974,17726.765903325,12686.5511525105,11469.3126266174,3200
27076.6447612264,24950.2834634207,18240.7131247275,13057.6053824697,11808.9362164605,3300
27815.307290569,25640.7431482301,18752.0397301884,13425.8783889318,12147.6260451017,3400
28559.2593458922,26326.2815609841,19260.3076923397,13792.5848786919,12485.2132775168,3500
29299.3073734672,27004.1021259015,19767.4062934291,14157.7287136183,12818.8313259379,3600
30035.3167224215,27681.5397913023,20271.5000773411,14522.6954105814,13149.1706766112,3700
30767.3015380345,28358.3304388165,20771.2508427109,14887.6220539405,13481.6857491315,3800
31495.2759218563,29031.5275123443,21270.3850411715,15251.1389624051,13809.8405326071,3900
32219.2539318335,29701.1431179385,21765.9954036478,15612.9958786551,14136.8512149531,4000
32939.2495824361,30367.189325655,22258.2030151904,15971.9286229746,14464.2113576352,4100
33655.1197218356,31027.9058610564,22750.2135917132,16328.8246583409,14792.4360073132,4200
34367.0163307159,31684.7973893784,23239.9000344908,16687.3355711954,15120.765354138,4300
35074.9651702567,32338.0154818433,23726.1641515369,17045.6026739052,15448.4904414909,4400
35778.9801357038,32987.515854747,24211.009365525,17398.1606572396,15771.2005574927,4500
36479.0750791961,33633.4169244845,24695.3925167877,17749.2266857651,16093.4699700558,4600
37175.2638098908,34275.7311864728,25178.8938544004,18099.1846837808,16413.3743364632,4700
37867.5600940876,34914.4710979083,25660.2219301393,18446.9259428631,16731.7525226967,4800
38556.6963294159,35549.6490778759,26136.8167642452,18798.0711085238,17048.890669751,4900
39243.5536972346,36181.2775074579,26611.012486508,19147.715564326,17364.7914709453,5000
39923.689318739,36809.3687298429,27080.8272647774,19492.245490125,17679.4576144255,5100
40597.9633208444,37433.9350504339,27548.3677718513,19835.3296956107,17992.8917831727,5200
