"q95","q90","Median","q10","q5","Escapement"
0,0,0,0,0,0
1063.55414634501,979.962512520336,731.013826992101,553.123429069085,509.710804270181,100
2122.20220231131,1955.50244293654,1459.30783405506,1104.55819535184,1017.95022589044,200
3175.96114335739,2926.63476064269,2184.71888445936,1654.5877068608,1524.93426827488,300
4224.84789272547,3893.39662474542,2907.34011328616,2203.53499832661,2030.62969515952,400
5268.87932159211,4855.6921404702,3627.47068139901,2750.23927415106,2534.73694189815,500
6308.07224921835,5813.64065317023,4344.38206449432,3295.11118232693,3037.44640733188,600
7342.44344309954,6766.79187960406,5059.22137070586,3838.2782306056,3538.75012232572,700
8372.00961911461,7715.25548769237,5771.44675536451,4379.75956810704,4038.65102899157,800
9396.78744167507,8659.15872521743,6481.14983430595,4920.18005429192,4537.4840448091,900
10416.7935238735,9598.41404265597,7188.66587350574,5459.47023793804,5034.53995997201,1000
11432.0444276316,10533.1544910091,7892.85917263233,5997.81288660728,5530.47142996193,1100
12442.5566638481,11463.3962288339,8594.24465185875,6533.21641130218,6025.525441086,1200
13448.3466925458,12391.0139487081,9293.26422911614,7067.72068711249,6518.80325866744,1300
14448.9605260143,13314.0141280945,9989.68200236057,7600.49618419294,7011.09719320997,1400
15443.7613818308,14231.3923062898,10683.0275481855,8131.27634017343,7502.13525402874,1500
16434.0502798619,15144.5980099456,11374.8698239331,8660.4607235936,7991.88621760691,1600
17424.9665359467,16055.0953451856,12064.0449464254,9188.05290743954,8480.35259944823,1700
18407.7637549959,16961.2616824859,12750.7872180861,9714.05645759832,8967.53691069165,1800
19385.9739516643,17863.2687640245,13433.9942130281,10238.0168313827,9453.44165811838,1900
20359.2267266059,18761.1307207696,14113.5493711147,10758.4889667453,9938.06934415902,2000
21327.8605211398,19654.7232644946,14791.1129874182,11279.0541247977,10420.8644420072,2100
22291.9157159675,20542.638985145,15467.2385187259,11798.9455889307,10899.2645699542,2200
23251.4082862141,21423.4988020107,16139.3600024382,12317.3709385024,11376.0741335413,2300
24204.9709963671,22303.8439203099,16808.3828383775,12834.1407544788,11851.2970566494,2400
25152.281013013,23182.4129806279,17478.4721491649,13349.5508289425,12324.9372545717,2500
26094.7269812161,24056.9845885078,18145.8193966645,13863.2967829105,12800.3374231366,2600
27032.4379689502,24927.0673040713,18808.3988361569,14373.3077956586,13275.4038098193,2700
27965.4314382069,25790.7307013228,19467.9486175774,14884.3788147557,13748.9469348521,2800
28893.7247940357,26657.7077908652,20124.2056231694,15394.4509033801,14216.7300299087,2900
29823.3037631249,27516.089149874,20779.2332828646,15898.3806514345,14685.6319350496,3000
30743.1582108842,28369.5554131333,21431.9826673621,16400.3211962969,15153.743843834,3100
31658.4068029388,29219.1293600148,22080.0291680767,16906.4833729771,15620.6675041446,3200
32570.0682683155,30065.1135835303,22726.4160158157,17412.2955628488,16086.2917399538,3300
33480.0685098275,30906.9140993536,23372.1725769267,17912.6265610342,16550.7312506591,3400
34385.6060229349,31744.4229640105,24016.0436490014,18410.3363388837,17013.8493687347,3500
35286.8065756475,32577.9031420096,24655.2771487442,18906.7193092195,17476.8545990152,3600
36183.5296818752,33407.388771923,25290.866881614,19405.1111591955,17940.3774318167,3700
37075.8764298871,34232.5310778633,25925.7977128742,19902.4188888871,18402.7415960055,3800
37963.9209546609,35050.5155875594,26559.8844619118,20398.3354009676,18860.0379324633,3900
