"parameter","X0.","X2.5.","X5.","X50.","X95.","X97.5.","X100."
"lnalpha",1.44118314894325,1.62164590856553,1.6908975535763,1.98469425237256,2.25835166223329,2.33789039349614,2.58152941494271
"phi",-0.632978033742156,-0.568962456344113,-0.552546958821364,-0.20860372510455,0.175942772565899,0.199643874076999,0.357133742201651
"beta",0.12544685099191,0.136529117252107,0.154308955766122,0.193162817612339,0.241716218753805,0.244246847737512,0.265825428910614
"sigma",0.271137535178196,0.303092857550581,0.313373263072213,0.386868088985546,0.464311135795396,0.514812403735812,0.668481907946085
"sigmaw",0.00349320890463265,0.053948149876669,0.129442411528305,1.03143023815937,1.92714983358214,1.97078421040048,1.98986818315461
"Tau",2.23779698464013,3.77318615830007,4.6386253978671,6.68150335844572,10.1830597087917,10.8888551933534,13.6025619532825
"tauw",0.252552332619333,0.257468793461575,0.269266071255334,0.941795926690612,61.3027757513038,344.256802473406,81950.3632373944
"alpha",4.22569248411005,5.06147562522751,5.42434753733462,7.27682218260197,9.5673117214241,10.3814842783294,13.2173375026118
"lnalpha.c",1.50713767141562,1.68834866678257,1.74807906603025,2.06549180379237,2.36715067498358,2.4454518887749,2.64973542489828
"e0",-0.50407504569828,-0.380281250144915,-0.287412590816684,0.0180254244008031,0.303551621063116,0.392127275794207,0.597316285640776
