"q95","q90","Median","q10","q5","Escapement"
0,0,0,0,0,0
1006.14038740452,963.191097289528,739.448107844099,577.417788984194,539.900766398471,100
2007.64034069952,1921.92312729168,1475.84782348309,1153.01558436953,1078.05919216044,200
3004.51593990915,2876.21157732493,2209.20857222835,1726.79768937491,1614.47950392961,300
3996.78321544045,3826.07188687906,2939.53975348714,2298.76839817335,2149.16591921504,400
4984.45814822712,4771.51944775367,3666.85074082939,2868.93199590983,2682.12264640974,500
5967.55666987292,5712.56960419632,4391.15088205424,3437.29275871911,3213.35388480914,600
6946.09466279464,6649.23765304025,5112.44949925646,4003.85495374346,3742.84559952906,700
7920.08796036473,7581.53884384177,5830.75588889271,4568.62283915042,4270.56983933266,800
8889.55234705341,8509.48837901723,6546.07932184764,5131.60066415047,4796.56487981619,900
9854.50355857054,9433.10141397961,7258.42904349978,5692.79266901471,5320.83496366543,1000
10814.957282007,10352.246903911,7967.81427378732,6252.20308509247,5843.38432430176,1100
11770.9291559756,11266.8546853649,8674.24420727371,6809.83613482894,6364.12780318294,1200
12722.4347707519,12177.1123007928,9377.72801321307,7365.6960317827,6882.86423338254,1300
13669.4896684141,13083.035140237,10078.2748356155,7919.78698064324,7399.83593390862,1400
14612.1093429834,13984.6385454203,10775.8937933121,8472.11317724852,7915.04737702371,1500
15550.3092405628,14881.9378098879,11470.5939800202,9022.67880860234,8428.50302493206,1600
16484.1047594765,15774.9481791497,12162.3844644076,9571.48805289186,8940.20732980082,1700
17413.5112504087,16663.684850821,12851.2742901579,10118.5450795049,9450.16473378118,1800
18338.5440165414,17548.1629747643,13537.2724760343,10663.8540490475,9958.3796690295,1900
19259.2183136929,18428.3976532291,14220.3880159445,11207.4191133609,10464.8565577284,2000
20175.5493504547,19304.4039409928,14900.6298790042,11749.2444155392,10969.5998121076,2100
21088.723368872,20176.1968455,15578.0070096019,12289.3340899464,11472.6138344653,2200
21997.8888871364,21043.7913270018,16252.5283274619,12827.6922622338,11973.9030171887,2300
22902.8732132797,21907.2022986956,16924.2027277085,13364.3230493569,12473.4717427752,2400
23803.6905242313,22766.4446268628,17593.0390809296,13899.2305595931,12971.3243838528,2500
24700.3549543676,23621.5331310073,18259.0462332394,14432.4188925581,13467.4653032018,2600
