"q95","q90","Median","q10","q5","Escapement"
0,0,0,0,0,0
1065.93728927584,933.91418532903,713.180928657496,511.389620855727,487.409933391278,100
2126.6126154575,1863.48021266009,1423.79110472039,1021.31551324771,973.444307065355,200
3182.04548469839,2788.71326827682,2131.83748769249,1529.78082022794,1458.10603609513,300
4232.25533879553,3709.62849130709,2837.32702030745,2036.78867884763,1941.39803005576,400
5277.26155538893,4626.2409738603,3540.26662856671,2542.342220168,2423.32319303438,500
6317.08344816025,5538.56576116426,4240.66322177729,3046.444569271,2903.88442363981,600
7351.74026703096,6446.6178517018,4938.52369258966,3549.09884526996,3383.08461501229,700
8381.25119835987,7350.41219734684,5633.85491703534,4050.30816132037,3860.92665483312,800
9405.63536514007,8249.96370350025,6326.66375456454,4550.07562463046,4337.41342533435,900
10424.9118271953,9145.28722922516,7016.95704808372,5048.40433647191,4812.54780330844,1000
11439.0995813757,10036.3975873821,7704.74162399298,5545.29739219046,5286.33266011785,1100
12448.2175617531,10923.3095447634,8390.02429222346,6040.75788121652,5758.7708617047,1200
13452.2846398154,11806.0378222277,9072.81184627458,6534.78888707579,6229.86526860036,1300
14451.319624661,12684.5970948339,9753.1110632513,7027.39348739982,6699.61873593502,1400
15445.3412631919,13559.0019919742,10430.9287039012,7518.57475393657,7168.03411344726,1500
16434.3682403065,14429.2670975079,11106.2715126515,8008.33575256094,7635.11424549363,1600
17418.4191790925,15295.4069498935,11779.146217646,8496.67954328535,8100.86197105813,1700
18397.5126410179,16157.4360423217,12449.5595307823,8983.60918027016,8565.2801237618,1800
19371.6671261226,17015.3688228468,13117.5181477478,9469.12771183422,9028.37153187215,1900
20340.9010732089,17869.2196945191,13783.0287480572,9953.23818046535,9490.1390183127,2000
21305.2328600315,18719.0030155154,14446.097995089,10435.9436228307,9950.58540067243,2100
22264.680803487,19564.7330992706,15106.7325361217,10917.2470697873,10409.7134912152,2200
23219.2631598025,20406.4242146077,15764.9390023704,11397.1515463925,10867.5260968893,2300
24168.9981247245,21244.0905858685,16420.7240090235,11875.660071914,11324.0260193368,2400
25113.9038337063,22077.7463930429,17074.0941552787,12352.7756598409,11779.2160549028,2500
26053.9983620949,22907.4057718987,17725.0560243794,12828.5013178934,12233.0989946451,2600
26989.2997253184,23732.4158906327,18373.6161836508,13302.8400480336,12685.6776243435,2700
27919.8258790715,24551.9466407603,19019.7811845359,13775.7948464755,13136.9547245089,2800
28845.5947195012,25367.3798811865,19663.5575626317,14247.5882403872,13586.933070393,2900
29766.624083392,26178.730627878,20304.951837725,14718.7318423635,14035.6154319976,3000
30682.9317483498,26986.0138481542,20943.9705138282,15188.5604232652,14483.0045740834,3100
31594.5354329863,27789.2444608346,21580.6200792153,15657.0766991778,14929.1032561801,3200
32501.4527971024,28588.4373363857,22214.9070064572,16124.2833812158,15373.9142325949,3300
33400.5980895338,29383.6072970678,22846.8377524577,16590.1831755305,15817.4402524224,3400
34292.6611095941,30174.7691170811,23476.4187584888,17054.7787833193,16259.6840595533,3500
35179.8077771713,30961.9375227112,24103.6564502264,17518.0729008335,16700.6483926842,3600
36062.0577725489,31745.1271924749,24728.5572377853,17980.0682193872,17140.3359853263,3700
36939.4307064998,32524.3527572645,25351.1275157548,18440.7674253656,17578.7495658148,3800
37811.9461205161,33299.6288004931,25971.373663234,18900.1732002336,18015.8918573182,3900
38679.6234870378,34070.9698582375,26589.3020438664,19358.2882205439,18451.7655778473,4000
39542.4822096807,34838.390419383,27204.919005876,19815.1151579458,18886.3734402646,4100
40400.5416234643,35601.9049257659,27818.230882101,20270.6566791936,19319.7181522929,4200
41253.820995038,36361.5277723165,28429.2439900299,20724.9154461546,19751.802416525,4300
42102.339522907,37117.2733072014,29037.9646318356,21177.8941158178,20182.6289304327,4400
42946.1163376579,37869.1558319657,29644.3990944105,21629.5953403024,20612.2003863755,4500
43785.1705021832,38617.1896016744,30248.553649401,22080.0217668657,21040.5194716101,4600
44619.5210119044,39361.3888250533,30850.4345532423,22529.176037912,21467.5888682994,4700
45449.186794996,40101.7676646304,31450.0480471929,22977.0607910004,21893.4112535212,4800
46274.1867126075,40838.3402368754,32047.400357369,23423.6786588534,22317.9892992777,4900
47094.5395590848,41571.1206123403,32642.4976947788,23869.0322693652,22741.3256725042,5000
47910.2640621918,42300.1228157986,33235.3462553571,24313.1242456099,23163.4230350782,5100
48721.3788833299,43025.3608263843,33825.9522199993,24755.9572058498,23584.2840438285,5200
49527.9026177583,43746.8485777308,34414.3217545957,25197.5337635438,24003.9113505438,5300
50329.8537948125,44464.5999581091,35000.4610100655,25637.8565273553,24422.3076019821,5400
51127.2508781226,45178.6288105658,35584.3761223908,26076.9281011608,24839.4754398793,5500
51920.1122658307,45888.9489330605,36166.0732126509,26514.7510840579,25255.4175009583,5600
52708.4562908077,46595.5740786028,36745.5583870554,26951.3280703736,25670.136416938,5700
53492.3012208697,47298.5179553891,37322.8377369789,27386.6616496724,26083.6348145419,5800
54271.665258993,47997.794226939,37897.9173389941,27820.7544067647,26495.9153155071,5900
55046.5665435291,48693.4165122308,38470.8032549056,28253.6089217146,26906.9805365932,6000
55817.0231484189,49385.3983858375,39041.5015317837,28685.2277698484,27316.8330895913,6100
56583.0530834055,50073.7533780617,39610.0182019975,29115.6135217625,27725.4755813325,6200
57344.6742942479,50758.49497507,40176.3592832487,29544.7687433317,28132.9106136969,6300
58101.9046629319,51439.6366190279,40740.5307786049,29972.6959957171,28539.1407836224,6400
58854.7620078825,52117.1917082332,41302.5386765325,30399.3978353745,28944.1686831135,6500
59603.2640841738,52791.1735972499,41862.3889509304,30824.8768140623,29347.9968992501,6600
60347.4285837395,53461.595597041,42423.6434383863,31249.1354788493,29750.628014196,6700
61087.2731355818,54128.4709751017,42983.0838009636,31672.1763721233,30152.0646052079,6800
61822.8153059809,54791.8129555914,43540.4832916204,32094.002031599,30552.3092446442,6900
62554.072598702,55451.6347194657,44095.8472613047,32514.6149903255,30951.3644999735,7000
63281.0624552035,56107.9494046084,44649.1810486184,32934.0177766951,31349.2329337833,7100
64003.8022548432,56760.7701059621,45200.4899798435,33352.2129144508,31745.9171037887,7200
64722.3093150848,57410.1098756595,45749.7793689692,33769.2029226944,32141.4195628413,7300
65436.6008917026,58055.9817231538,46297.0545177178,34184.9903158946,32535.7428589376,7400
