"q95","q90","Median","q10","q5","Escapement"
0,0,0,0,0,0
911.041204367371,824.672395264409,591.182116379418,424.181043632016,379.498199158952,100
1817.0742798401,1645.2052659119,1179.81774349666,846.870210339764,757.591238634296,200
2718.09208755922,2461.6725894671,1765.84349451063,1267.95989490614,1134.20956388725,300
3614.61936856781,3274.44192064718,2349.32107207415,1687.49063706168,1509.59589035232,400
4506.65986656782,4083.35096252773,2929.9941796814,2105.398804599,1883.77243585443,500
5394.27159779547,4888.75041759019,3508.01925807937,2521.75549186511,2256.43005003566,600
6277.23820857675,5689.06700459084,4084.05683272745,2936.51925687756,2627.2777978905,700
7154.90213000876,6484.89731234362,4657.35638498349,3348.95196192734,2996.88011228581,800
8027.84148286118,7276.85579191584,5227.83133604507,3759.46564600092,3365.21715044163,900
8896.07706439058,8065.39586362149,5796.198248798,4168.27031530636,3732.20084800653,1000
9759.6258206774,8849.8744073247,6362.08977893069,4575.35561777096,4097.83780404396,1100
10618.5046436186,9630.39513651177,6925.82268069942,4981.82251413622,4462.57077562065,1200
11472.7262444238,10406.9712443099,7486.31055548983,5387.15905790169,4825.52298120842,1300
12322.2191177007,11178.6571041805,8044.26518440428,5789.38396480056,5186.60560508155,1400
13167.0791535646,11945.1030379405,8599.65371239011,6191.55741998056,5546.56631589289,1500
14007.3231249712,12707.5442004401,9152.6506217639,6592.93647944676,5905.31289994195,1600
14842.9677510393,13468.9253041802,9703.23352262938,6993.58771230724,6262.69860377152,1700
15674.0296972133,14226.4086923433,10250.2567514433,7390.37013393973,6618.7264329383,1800
16500.5255754245,14979.7641130792,10794.5960390128,7785.81536866639,6973.46606060362,1900
17322.4587230677,15725.6929643853,11336.8885416974,8178.94569012042,7327.33830099092,2000
18139.792297479,16466.7428656001,11875.9399273306,8570.70819871044,7681.60471428003,2100
18952.0712794637,17203.6000320932,12413.639860169,8960.96622142375,8034.73438935801,2200
19761.1787832964,17937.9026025063,12949.9372360426,9349.79666110058,8386.72944549634,2300
20565.0916389331,18672.4453384995,13484.0289559296,9738.07412582718,8737.62847167314,2400
21364.1748247016,19405.4324026628,14013.9514760715,10124.3724218222,9087.41328319824,2500
22158.068232775,20134.9130532869,14540.5075180726,10509.4003570191,9436.07375194942,2600
22947.4484765582,20860.8981746338,15066.0814702339,10892.9253908022,9783.61196609585,2700
23732.3322804767,21583.1038599864,15586.3391878719,11274.950971347,10130.0300103652,2800
24512.7363141552,22301.4091935456,16104.9323185744,11655.4805398173,10473.5815725724,2900
25288.608901343,23009.5826278884,16622.4904895634,12034.5175303781,10813.5427578709,3000
26059.9972843941,23711.6870769993,17139.6764691689,12412.0653702096,11152.1244008621,3100
26827.0785696391,24417.794106661,17654.9593048069,12788.1274795198,11489.3296978385,3200
27591.9082731689,25112.9991975841,18169.0053312279,13162.7072715583,11825.1618385317,3300
28351.3799966876,25810.9719430893,18678.0939879244,13535.8081526292,12159.6240061247,3400
